     2.000     2.000     1.000     2.000    -0.640     0.411     0.339 51203   1125 115013
     1.000     2.000     2.000     2.000    -0.498     0.419     0.339 51204   1125 115013
     2.000     1.000     2.000     2.000    -0.556     0.417     0.339 51205   1125 115013
     2.000     2.000     3.000     3.000     0.538     0.445     0.339 51206   1125 115013
     2.000     1.000     1.000     2.000    -0.903     0.401     0.339 51207   1125 115013
     2.000     3.000     3.000     1.000     0.108     0.412     0.339 51208   1125 115013
     2.000     2.000     2.000     2.000    -0.252     0.429     0.339 51209   1125 115013
     1.000     2.000     2.000     1.000    -0.798     0.406     0.339 51210   1125 115013
     2.000     2.000     2.000     2.000    -0.252     0.429     0.339 51211   1125 115013
     2.000     2.000     2.000     1.000    -0.581     0.415     0.339 51212   1125 115013
     2.000     2.000     2.000     2.000    -0.252     0.429     0.339 51213   1125 115013
     3.000     2.000     2.000     2.000     0.046     0.421     0.339 51214   1125 115013
     2.000     2.000     2.000     2.000    -0.252     0.429     0.339 51215   1125 115013
     0.000     1.000     1.000     1.000    -1.522     0.393     0.339 51216   1125 115013
     3.000     1.000     3.000     2.000     0.122     0.411     0.339 51217   1125 115013
     2.000     2.000     2.000     2.000    -0.252     0.429     0.339 51218   1125 115013
     1.000     2.000     2.000     1.000    -0.798     0.406     0.339 51219   1125 115013
     2.000     2.000     2.000     2.000    -0.252     0.429     0.339 51220   1125 115013
     1.000     2.000     2.000     2.000    -0.498     0.419     0.339 51221   1125 115013
     2.000     3.000     2.000     2.000     0.067     0.425     0.339 51222   1125 115013
     2.000     1.000     2.000     2.000    -0.556     0.417     1.731 51223   1105 115014
     2.000     2.000     2.000     2.000    -0.252     0.429     1.731 51224   1105 115014
     1.000     1.000     2.000     2.000    -0.777     0.408     1.731 51225   1105 115014
     1.000     2.000     2.000     1.000    -0.798     0.406     1.731 51226   1105 115014
     2.000     3.000     3.000     3.000     0.935     0.492     1.731 51227   1105 115014
     1.000     1.000     2.000     1.000    -1.048     0.396     1.731 51228   1105 115014
     2.000     1.000     2.000     3.000    -0.206     0.414     1.731 51229   1105 115014
